channel,feature_name,feature_value,object_id,plate_column,plate_row,platedir,region,timepoint
2,q0_250,282.0,1,2,A,200129MZ072BBB07,obj,72
2,q0_500,340.0,1,2,A,200129MZ072BBB07,obj,72
2,q0_750,411.0,1,2,A,200129MZ072BBB07,obj,72
2,q0_999,1003.0,1,2,A,200129MZ072BBB07,obj,72
2,q1_000,5790.0,1,2,A,200129MZ072BBB07,obj,72
3,q0_000,104.0,1,2,A,200129MZ072BBB07,obj,72
3,q0_001,111.0,1,2,A,200129MZ072BBB07,obj,72
3,q0_250,142.0,1,2,A,200129MZ072BBB07,obj,72
3,q0_500,157.0,1,2,A,200129MZ072BBB07,obj,72
3,q0_750,184.0,1,2,A,200129MZ072BBB07,obj,72
3,q0_999,486.0,1,2,A,200129MZ072BBB07,obj,72
3,q1_000,875.0,1,2,A,200129MZ072BBB07,obj,72
4,q0_000,104.0,1,2,A,200129MZ072BBB07,obj,72
4,q0_001,113.0,1,2,A,200129MZ072BBB07,obj,72
4,q0_250,144.0,1,2,A,200129MZ072BBB07,obj,72
4,q0_500,174.0,1,2,A,200129MZ072BBB07,obj,72
4,q0_750,251.0,1,2,A,200129MZ072BBB07,obj,72
4,q0_999,2031.0,1,2,A,200129MZ072BBB07,obj,72
4,q1_000,3263.0,1,2,A,200129MZ072BBB07,obj,72
1,q0_000,178.0,1,2,A,200129MZ072BBB07,l3seg,72
1,q0_250,1806.0,1,2,A,200129MZ072BBB07,l3seg,72
1,q0_500,2351.0,1,2,A,200129MZ072BBB07,l3seg,72
1,q0_750,2969.0,1,2,A,200129MZ072BBB07,l3seg,72
1,q1_000,12313.0,1,2,A,200129MZ072BBB07,l3seg,72
1,q0_000,269.0,2,2,A,200129MZ072BBB07,l3seg,72
1,q0_250,1987.0,2,2,A,200129MZ072BBB07,l3seg,72
1,q0_500,2542.0,2,2,A,200129MZ072BBB07,l3seg,72
1,q0_750,3281.0,2,2,A,200129MZ072BBB07,l3seg,72
1,q1_000,12190.0,2,2,A,200129MZ072BBB07,l3seg,72
1,q0_000,326.0,3,2,A,200129MZ072BBB07,l3seg,72
1,q0_250,2244.0,3,2,A,200129MZ072BBB07,l3seg,72
1,q0_500,2817.0,3,2,A,200129MZ072BBB07,l3seg,72
1,q0_750,3511.0,3,2,A,200129MZ072BBB07,l3seg,72
1,q1_000,18078.0,3,2,A,200129MZ072BBB07,l3seg,72
2,q0_000,114.0,1,2,A,200129MZ072BBB07,l3seg,72
2,q0_250,277.0,1,2,A,200129MZ072BBB07,l3seg,72
2,q0_500,324.0,1,2,A,200129MZ072BBB07,l3seg,72
2,q0_750,387.0,1,2,A,200129MZ072BBB07,l3seg,72
2,q1_000,4961.0,1,2,A,200129MZ072BBB07,l3seg,72
2,q0_000,120.0,2,2,A,200129MZ072BBB07,l3seg,72
2,q0_250,264.0,2,2,A,200129MZ072BBB07,l3seg,72
2,q0_500,308.0,2,2,A,200129MZ072BBB07,l3seg,72
2,q0_750,359.0,2,2,A,200129MZ072BBB07,l3seg,72
2,q1_000,3219.0,2,2,A,200129MZ072BBB07,l3seg,72
2,q0_000,137.0,3,2,A,200129MZ072BBB07,l3seg,72
2,q0_250,349.0,3,2,A,200129MZ072BBB07,l3seg,72
2,q0_500,419.0,3,2,A,200129MZ072BBB07,l3seg,72
2,q0_750,512.0,3,2,A,200129MZ072BBB07,l3seg,72
2,q1_000,5790.0,3,2,A,200129MZ072BBB07,l3seg,72
3,q0_000,104.0,1,2,A,200129MZ072BBB07,l3seg,72
3,q0_250,139.0,1,2,A,200129MZ072BBB07,l3seg,72
3,q0_500,149.0,1,2,A,200129MZ072BBB07,l3seg,72
3,q0_750,159.0,1,2,A,200129MZ072BBB07,l3seg,72
3,q1_000,521.0,1,2,A,200129MZ072BBB07,l3seg,72
3,q0_000,104.0,2,2,A,200129MZ072BBB07,l3seg,72
3,q0_250,137.0,2,2,A,200129MZ072BBB07,l3seg,72
3,q0_500,150.0,2,2,A,200129MZ072BBB07,l3seg,72
3,q0_750,164.0,2,2,A,200129MZ072BBB07,l3seg,72
3,q1_000,553.0,2,2,A,200129MZ072BBB07,l3seg,72
3,q0_000,105.0,3,2,A,200129MZ072BBB07,l3seg,72
3,q0_250,177.0,3,2,A,200129MZ072BBB07,l3seg,72
3,q0_500,213.0,3,2,A,200129MZ072BBB07,l3seg,72
3,q0_750,263.0,3,2,A,200129MZ072BBB07,l3seg,72
3,q1_000,875.0,3,2,A,200129MZ072BBB07,l3seg,72
4,q0_000,106.0,1,2,A,200129MZ072BBB07,l3seg,72
4,q0_250,141.0,1,2,A,200129MZ072BBB07,l3seg,72
4,q0_500,171.0,1,2,A,200129MZ072BBB07,l3seg,72
4,q0_750,813.0,1,2,A,200129MZ072BBB07,l3seg,72
4,q1_000,3263.0,1,2,A,200129MZ072BBB07,l3seg,72
4,q0_000,104.0,2,2,A,200129MZ072BBB07,l3seg,72
4,q0_250,137.0,2,2,A,200129MZ072BBB07,l3seg,72
4,q0_500,157.0,2,2,A,200129MZ072BBB07,l3seg,72
4,q0_750,195.0,2,2,A,200129MZ072BBB07,l3seg,72
4,q1_000,1928.0,2,2,A,200129MZ072BBB07,l3seg,72
4,q0_000,109.0,3,2,A,200129MZ072BBB07,l3seg,72
4,q0_250,168.0,3,2,A,200129MZ072BBB07,l3seg,72
4,q0_500,201.0,3,2,A,200129MZ072BBB07,l3seg,72
4,q0_750,273.0,3,2,A,200129MZ072BBB07,l3seg,72
4,q1_000,2362.0,3,2,A,200129MZ072BBB07,l3seg,72
1,q0_000,1027.0,1,2,A,200129MZ072BBB07,l100seg,72
1,q0_250,1513.75,1,2,A,200129MZ072BBB07,l100seg,72
1,q0_500,1722.5,1,2,A,200129MZ072BBB07,l100seg,72
1,q0_750,1773.5,1,2,A,200129MZ072BBB07,l100seg,72
1,q1_000,1787.0,1,2,A,200129MZ072BBB07,l100seg,72
1,q0_000,178.0,2,2,A,200129MZ072BBB07,l100seg,72
1,q0_250,829.25,2,2,A,200129MZ072BBB07,l100seg,72
1,q0_500,1121.0,2,2,A,200129MZ072BBB07,l100seg,72
1,q0_750,1479.25,2,2,A,200129MZ072BBB07,l100seg,72
1,q1_000,3381.0,2,2,A,200129MZ072BBB07,l100seg,72
1,q0_000,210.0,3,2,A,200129MZ072BBB07,l100seg,72
1,q0_250,1472.0,3,2,A,200129MZ072BBB07,l100seg,72
1,q0_500,1893.5,3,2,A,200129MZ072BBB07,l100seg,72
1,q0_750,2448.0,3,2,A,200129MZ072BBB07,l100seg,72
1,q1_000,5945.0,3,2,A,200129MZ072BBB07,l100seg,72
1,q0_000,325.0,4,2,A,200129MZ072BBB07,l100seg,72
1,q0_250,1845.75,4,2,A,200129MZ072BBB07,l100seg,72
